SCHCD,TotalStudents,Total_boys,Percntage_girls,Total_Pass,Result_Percentage,Tot_Teachers,Hyg_infra,Urban,North,South,East,West ,Central
9070100805,35,16,0.542857143,14,0.4,4,0.166666667,1,0,0,0,1,0
9070100901,225,104,0.537777778,108,0.48,11,0.181818182,0,0,0,0,1,0
9070100902,125,74,0.408,64,0.512,7,0.142857143,1,0,0,0,1,0
9070101001,99,49,0.505050505,0,0,8,0.260869565,0,0,0,0,1,0
9070101004,78,38,0.512820513,0,0,2,0.090909091,0,0,0,0,1,0
9070101101,61,30,0.508196721,0,0,5,0.1,0,0,0,0,1,0
9070101102,34,15,0.558823529,27,0.794117647,8,0.133333333,1,0,0,0,1,0
9070101301,248,136,0.451612903,101,0.407258065,7,0.076923077,1,0,0,0,1,0
9070101302,209,108,0.483253589,105,0.502392344,4,0.222222222,0,0,0,0,1,0
9070101303,206,97,0.529126214,157,0.762135922,5,0.08,1,0,0,0,1,0
9070101304,54,26,0.518518519,256,4.740740741,6,0.12,1,0,0,0,1,0
9070101305,81,41,0.49382716,72,0.888888889,9,0.166666667,1,0,0,0,1,0
9070101306,0,0,0,0,0,4,0.125,0,0,0,0,1,0
9070101307,115,71,0.382608696,0,0,3,0.4,0,0,0,0,1,0
9070101401,134,59,0.559701493,53,0.395522388,4,0.125,0,0,0,0,1,0
9070101402,102,61,0.401960784,69,0.676470588,6,0.1,0,0,0,0,1,0
9360100602,61,28,0.540983607,12,0.196721311,3,0.105263158,0,0,1,0,0,0
9360100701,39,16,0.58974359,9,0.230769231,4,0.176470588,0,0,1,0,0,0
9360100702,14,6,0.571428571,5,0.357142857,2,0.086956522,0,0,1,0,0,0
9360100801,77,30,0.61038961,12,0.155844156,2,0.142857143,0,0,1,0,0,0
9360100802,54,24,0.555555556,18,0.333333333,6,0.105263158,0,0,1,0,0,0
9360100901,151,77,0.490066225,52,0.344370861,2,0.125,0,0,1,0,0,0
9360100902,136,70,0.485294118,37,0.272058824,4,0.125,0,0,1,0,0,0
9360100903,132,66,0.5,16,0.121212121,8,0.105263158,0,0,1,0,0,0
9360100904,64,31,0.515625,0,0,11,0.1,0,0,1,0,0,0
9360101001,118,61,0.483050847,30,0.254237288,5,0.105263158,0,0,1,0,0,0
9360101002,55,35,0.363636364,19,0.345454545,7,0.095238095,0,0,1,0,0,0
9360101003,91,37,0.593406593,43,0.472527473,6,0.05,0,0,1,0,0,0
9360101004,52,27,0.480769231,0,0,5,0.095238095,0,0,1,0,0,0
9360101101,48,28,0.416666667,39,0.8125,5,0.095238095,0,0,1,0,0,0
9360101102,131,58,0.557251908,40,0.305343511,6,0.090909091,0,0,1,0,0,0
9360101103,947,488,0.48468849,246,0.259767687,5,0.105263158,0,0,1,0,0,0
9360101106,129,81,0.372093023,62,0.480620155,3,0.066666667,0,0,1,0,0,0
9360101107,93,58,0.376344086,16,0.172043011,4,0.173913043,0,0,1,0,0,0
9360101108,841,581,0.309155767,0,0,4,0.125,0,0,1,0,0,0
9360101110,105,57,0.457142857,0,0,3,0.117647059,0,0,1,0,0,0
9360101112,262,155,0.408396947,96,0.366412214,3,0.1,0,0,1,0,0,0
9360101113,192,97,0.494791667,33,0.171875,3,0.111111111,0,0,1,0,0,0
9360101114,74,0,1,122,1.648648649,5,0.086956522,0,0,1,0,0,0
9360101115,64,33,0.484375,16,0.25,4,0,0,0,1,0,0,0
9360101116,117,76,0.35042735,52,0.444444444,2,0.111111111,0,0,1,0,0,0
9360101122,54,31,0.425925926,18,0.333333333,4,0.090909091,0,0,1,0,0,0
9360101123,153,78,0.490196078,0,0,2,0.105263158,0,0,1,0,0,0
9360101124,329,305,0.072948328,11,0.03343465,3,0.133333333,0,0,1,0,0,0
9360101125,112,63,0.4375,0,0,2,0.133333333,0,0,1,0,0,0
9360101126,103,55,0.466019417,11,0.106796117,4,0.1,0,0,1,0,0,0
9360101127,126,75,0.404761905,0,0,6,0.25,0,0,1,0,0,0
9360101128,1227,715,0.417277914,236,0.192339038,4,0.090909091,0,0,1,0,0,0
9360101129,1202,633,0.473377704,0,0,7,0.1,0,0,1,0,0,0
9360101131,547,403,0.263254113,92,0.168190128,1,0.095238095,0,0,1,0,0,0
9360101132,48,48,0,37,0.770833333,4,0.25,0,0,1,0,0,0
9360101133,52,27,0.480769231,0,0,5,0.222222222,0,0,1,0,0,0
9360101136,38,38,0,25,0.657894737,2,0.047619048,0,0,1,0,0,0
9360101137,37,0,1,23,0.621621622,2,0.19047619,0,0,1,0,0,0
9360101138,40,0,1,27,0.675,9,0.105263158,0,0,1,0,0,0
9360101139,641,407,0.365054602,120,0.187207488,2,0.15,0,0,1,0,0,0
9360101201,60,32,0.466666667,33,0.55,4,0.117647059,0,0,1,0,0,0
9360101202,91,52,0.428571429,22,0.241758242,2,0.105263158,0,0,1,0,0,0
9360101203,113,69,0.389380531,43,0.380530973,3,0.08,0,0,1,0,0,0
9360101204,100,0,1,39,0.39,2,0.117647059,0,0,1,0,0,0
9360101205,139,88,0.366906475,16,0.115107914,4,0.083333333,0,0,1,0,0,0
9360101206,44,28,0.363636364,7,0.159090909,3,0.24,0,0,1,0,0,0
9360101301,41,18,0.56097561,13,0.317073171,5,0.095238095,0,0,1,0,0,0
9360101302,29,15,0.482758621,4,0.137931034,10,0.117647059,0,0,1,0,0,0
9360101303,55,32,0.418181818,14,0.254545455,3,0.083333333,0,0,1,0,0,0
9360101304,33,15,0.545454545,8,0.242424242,3,0.133333333,0,0,1,0,0,0
9360101401,138,66,0.52173913,232,1.68115942,3,0.055555556,0,0,1,0,0,0
9360101501,71,30,0.577464789,16,0.225352113,3,0.125,0,0,1,0,0,0
9360101502,101,54,0.465346535,28,0.277227723,4,0.095238095,0,0,1,0,0,0
9360101503,67,38,0.432835821,76,1.134328358,5,0.1,0,0,1,0,0,0
9360101601,122,71,0.418032787,0,0,3,0.105263158,0,0,1,0,0,0
9360101602,19,7,0.631578947,34,1.789473684,8,0.117647059,0,0,1,0,0,0
9360101603,154,85,0.448051948,48,0.311688312,7,0.181818182,0,0,1,0,0,0
9360101604,73,43,0.410958904,30,0.410958904,3,0,0,0,1,0,0,0
9360101605,53,20,0.622641509,0,0,5,0.1,0,0,1,0,0,0
9360101701,90,31,0.655555556,27,0.3,4,0.136363636,0,0,1,0,0,0
9360101801,29,29,0,10,0.344827586,4,0.090909091,0,0,1,0,0,0
9360101802,38,0,1,13,0.342105263,20,0.133333333,0,0,1,0,0,0
9360101803,33,19,0.424242424,19,0.575757576,3,0.1,0,0,1,0,0,0
9360101901,82,37,0.548780488,31,0.37804878,3,0.133333333,0,0,1,0,0,0
9360101902,44,18,0.590909091,18,0.409090909,3,0.086956522,0,0,1,0,0,0
9360101903,186,102,0.451612903,72,0.387096774,4,0.047619048,0,0,1,0,0,0
9360101904,52,21,0.596153846,50,0.961538462,5,0.1875,0,0,1,0,0,0
9360102001,123,60,0.512195122,35,0.284552846,6,0.047619048,0,0,1,0,0,0
9360102002,55,55,0,15,0.272727273,6,0.105263158,0,0,1,0,0,0
9360102003,41,24,0.414634146,82,2,2,0.086956522,0,0,1,0,0,0
9360102004,100,0,1,15,0.15,4,0.142857143,1,0,1,0,0,0
9360102005,266,0,1,27,0.101503759,7,0.086956522,1,0,1,0,0,0
9360102101,108,59,0.453703704,51,0.472222222,7,0.142857143,1,0,1,0,0,0
9360102102,63,32,0.492063492,24,0.380952381,4,0.153846154,0,0,1,0,0,0
9360102103,69,41,0.405797101,41,0.594202899,5,0.105263158,0,0,1,0,0,0
9360102201,86,44,0.488372093,35,0.406976744,5,0.142857143,0,0,1,0,0,0
9360102202,43,26,0.395348837,13,0.302325581,6,0.105263158,0,0,1,0,0,0
9360102203,68,29,0.573529412,38,0.558823529,4,0.105263158,0,0,1,0,0,0
9360102301,90,41,0.544444444,56,0.622222222,4,0.125,0,0,1,0,0,0
9360102302,69,31,0.550724638,38,0.550724638,5,0.1,0,0,1,0,0,0
9360102401,51,28,0.450980392,29,0.568627451,7,0.181818182,0,0,1,0,0,0
9360102502,126,55,0.563492063,43,0.341269841,5,0.142857143,0,0,1,0,0,0
9360102503,124,0,1,47,0.379032258,7,0.1,0,0,1,0,0,0
9360102504,46,20,0.565217391,11,0.239130435,4,0.117647059,0,0,1,0,0,0
9360102601,35,16,0.542857143,20,0.571428571,4,0.1,0,0,1,0,0,0
9360102701,114,114,0,35,0.307017544,5,0.117647059,0,0,1,0,0,0
9360102702,131,91,0.305343511,0,0,4,0.125,0,0,1,0,0,0
9360102703,41,23,0.43902439,9,0.219512195,4,0.111111111,1,0,1,0,0,0
9360102704,158,115,0.272151899,0,0,3,0.2,1,0,1,0,0,0
9360102801,118,64,0.457627119,35,0.296610169,5,0.086956522,0,0,1,0,0,0
9360102802,71,34,0.521126761,38,0.535211268,3,0.1,0,0,1,0,0,0
